"Table 1. Per Capita Personal Income, by County, 2019–2021",,,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,,
,Dollars,,,Rank in state,Percent change,,Rank in state,
Crockett,"42,303","44,625","49,729",22,5.5,11.4,6,TN
Cumberland,"39,092","41,720","44,295",49,6.7,6.2,85,TN
Davidson,"71,100","74,857","82,087",2,5.3,9.7,19,TN
Decatur,"43,581","45,823","48,912",26,5.1,6.7,72,TN
DeKalb,"41,954","44,606","47,634",33,6.3,6.8,70,TN
Dickson,"43,611","45,932","50,218",19,5.3,9.3,24,TN
Dyer,"42,418","46,124","51,559",14,8.7,11.8,4,TN
Fayette,"58,804","62,949","68,153",3,7.0,8.3,45,TN
Fentress,"35,093","37,450","40,402",73,6.7,7.9,51,TN
Franklin,"40,494","43,348","45,975",41,7.0,6.1,86,TN
Gibson,"39,164","42,264","46,449",37,7.9,9.9,16,TN
Giles,"38,464","40,755","43,321",53,6.0,6.3,81,TN
Grainger,"35,331","38,242","41,569",61,8.2,8.7,33,TN
Greene,"37,107","39,047","41,796",59,5.2,7.0,66,TN
Grundy,"33,628","36,609","39,349",80,8.9,7.5,57,TN
Hamblen,"38,554","41,810","45,234",44,8.4,8.2,48,TN
Hamilton,"54,475","56,545","60,089",5,3.8,6.3,82,TN
Hancock,"28,021","31,325","34,135",93,11.8,9.0,29,TN
Hardeman,"30,266","32,742","35,485",92,8.2,8.4,39,TN
Hardin,"39,199","42,352","45,053",45,8.0,6.4,80,TN
Hawkins,"35,369","38,232","41,436",65,8.1,8.4,37,TN
Haywood,"33,721","36,712","41,503",63,8.9,13.1,2,TN
Henderson,"37,644","40,776","44,357",47,8.3,8.8,32,TN
Henry,"42,710","46,773","49,852",21,9.5,6.6,74,TN
Hickman,"35,945","37,869","41,689",60,5.4,10.1,13,TN
Houston,"34,415","36,475","39,128",82,6.0,7.3,62,TN
Humphreys,"39,322","41,538","44,127",50,5.6,6.2,83,TN
Jackson,"33,366","36,084","38,953",84,8.1,8.0,50,TN
Jefferson,"38,765","41,324","44,330",48,6.6,7.3,61,TN
Johnson,"33,282","35,623","37,936",87,7.0,6.5,77,TN
Knox,"52,753","56,206","59,934",6,6.5,6.6,73,TN
Lake,"24,802","26,127","29,534",95,5.3,13.0,3,TN
Lauderdale,"32,784","36,121","39,733",77,10.2,10.0,14,TN
Lawrence,"35,784","37,678","41,310",66,5.3,9.6,20,TN
Lewis,"36,069","39,399","41,476",64,9.2,5.3,94,TN
Lincoln,"41,767","44,963","48,683",27,7.7,8.3,44,TN
Loudon,"54,449","57,594","60,642",4,5.8,5.3,93,TN
McMinn,"37,942","40,753","43,715",51,7.4,7.3,63,TN
McNairy,"33,591","35,878","38,354",86,6.8,6.9,67,TN
Macon,"33,618","35,659","39,669",78,6.1,11.2,7,TN
Madison,"43,975","47,357","51,004",16,7.7,7.7,56,TN
Marion,"40,301","43,088","46,559",36,6.9,8.1,49,TN
Marshall,"40,704","43,516","47,446",35,6.9,9.0,28,TN
Maury,"45,199","48,017","52,041",13,6.2,8.4,38,TN
Meigs,"34,639","37,645","39,452",79,8.7,4.8,95,TN
Monroe,"36,325","39,204","42,276",57,7.9,7.8,53,TN
Montgomery,"42,647","45,493","48,104",31,6.7,5.7,90,TN
Moore,"43,240","45,380","48,015",32,4.9,5.8,88,TN
Morgan,"32,561","35,188","39,005",83,8.1,10.8,8,TN
Obion,"40,375","43,488","48,493",29,7.7,11.5,5,TN
Overton,"35,018","37,812","40,959",69,8.0,8.3,42,TN
Perry,"34,491","35,934","38,404",85,4.2,6.9,68,TN
Pickett,"40,574","42,952","45,308",43,5.9,5.5,92,TN
Polk,"33,761","35,848","39,180",81,6.2,9.3,25,TN
Putnam,"41,621","44,512","47,536",34,6.9,6.8,69,TN
Rhea,"36,163","39,571","42,174",58,9.4,6.6,75,TN
Roane,"43,488","46,373","49,972",20,6.6,7.8,54,TN
Robertson,"44,306","46,519","51,097",15,5.0,9.8,17,TN
Rutherford,"43,273","45,604","49,411",23,5.4,8.3,40,TN
Scott,"31,373","34,229","37,333",88,9.1,9.1,27,TN
Sequatchie,"38,090","41,286","43,709",52,8.4,5.9,87,TN
Sevier,"43,223","46,027","49,012",25,6.5,6.5,78,TN
Shelby,"51,067","54,427","59,212",8,6.6,8.8,31,TN
Smith,"41,898","44,033","48,602",28,5.1,10.4,10,TN
Stewart,"42,737","45,248","48,205",30,5.9,6.5,76,TN
Sullivan,"44,125","47,021","50,418",18,6.6,7.2,64,TN
Sumner,"52,015","54,570","59,105",9,4.9,8.3,43,TN
Tipton,"41,866","44,778","49,219",24,7.0,9.9,15,TN
Trousdale,"31,874","33,321","36,454",90,4.5,9.4,23,TN
Unicoi,"37,049","39,632","43,044",54,7.0,8.6,34,TN
Union,"34,493","36,826","40,349",75,6.8,9.6,21,TN
Van Buren,"31,881","34,664","36,669",89,8.7,5.8,89,TN
Warren,"36,188","38,892","41,296",67,7.5,6.2,84,TN
Washington,"45,144","48,475","52,089",12,7.4,7.5,59,TN
Wayne,"30,283","33,461","35,726",91,10.5,6.8,71,TN
Weakley,"38,337","41,133","45,366",42,7.3,10.3,12,TN
White,"35,019","37,603","40,770",70,7.4,8.4,36,TN
Williamson,"95,806","99,408","107,698",1,3.8,8.3,41,TN
Wilson,"52,573","54,619","59,229",7,3.9,8.4,35,TN
,,,,,,,,
Texas,"54,076","55,601","59,865",--,2.8,7.7,--,TX
Anderson,"36,532","38,898","42,444",232,6.5,9.1,88,TX
Andrews,"53,300","49,329","52,943",123,-7.5,7.3,147,TX
Angelina,"40,417","42,691","46,170",201,5.6,8.1,117,TX
Aransas,"55,184","56,433","59,878",66,2.3,6.1,198,TX
Archer,"54,894","57,669","60,101",63,5.1,4.2,240,TX
Armstrong,"55,506","58,244","61,382",54,4.9,5.4,219,TX
Atascosa,"40,588","43,238","46,737",194,6.5,8.1,121,TX
Austin,"53,854","55,151","58,284",82,2.4,5.7,209,TX
Bailey,"44,309","49,655","51,709",143,12.1,4.1,242,TX
Bandera,"53,618","55,731","58,706",76,3.9,5.3,220,TX
Bastrop,"37,749","39,956","44,230",216,5.8,10.7,51,TX
Baylor,"48,504","54,941","58,779",75,13.3,7.0,159,TX
Bee,"31,593","32,880","34,738",251,4.1,5.7,211,TX
Bell,"43,781","46,459","49,405",170,6.1,6.3,187,TX
Bexar,"47,081","48,348","51,780",140,2.7,7.1,150,TX
Blanco,"60,511","63,932","66,088",39,5.7,3.4,247,TX
Borden,"77,185","71,300","101,470",7,-7.6,42.3,2,TX
Bosque,"44,165","46,807","50,943",149,6.0,8.8,96,TX
Bowie,"41,563","44,597","47,792",182,7.3,7.2,149,TX
Brazoria,"51,117","53,365","56,360",92,4.4,5.6,213,TX
Brazos,"41,404","43,484","46,702",196,5.0,7.4,144,TX
Brewster,"46,357","48,670","53,014",120,5.0,8.9,92,TX
Briscoe,"45,182","45,515","58,862",74,0.7,29.3,5,TX
Brooks,"36,269","40,399","43,437",224,11.4,7.5,139,TX
Brown,"40,734","43,001","46,028",205,5.6,7.0,157,TX
Burleson,"50,401","52,934","57,482",84,5.0,8.6,100,TX
Burnet,"53,648","55,779","59,381",70,4.0,6.5,184,TX
Caldwell,"34,368","37,189","41,642",235,8.2,12.0,33,TX
Calhoun,"56,746","58,732","60,589",61,3.5,3.2,249,TX
Callahan,"45,861","48,266","50,963",148,5.2,5.6,214,TX
Cameron,"30,361","34,040","37,861",245,12.1,11.2,40,TX
Camp,"39,703","42,896","46,705",195,8.0,8.9,94,TX
Carson,"48,921","47,782","56,357",93,-2.3,17.9,13,TX
Cass,"39,831","43,281","46,101",204,8.7,6.5,179,TX
Castro,"66,556","75,830","81,900",12,13.9,8.0,126,TX
Chambers,"57,391","58,687","60,591",60,2.3,3.2,248,TX
Cherokee,"37,366","40,202","43,376",225,7.6,7.9,133,TX
Childress,"33,254","36,264","39,953",240,9.1,10.2,59,TX
Clay,"46,704","49,170","51,938",137,5.3,5.6,212,TX
Cochran,"41,365","46,391","62,305",50,12.2,34.3,3,TX
Coke,"43,459","46,405","48,804",174,6.8,5.2,225,TX
Coleman,"46,813","50,458","54,822",104,7.8,8.6,97,TX
Collin,"70,813","72,218","77,006",18,2.0,6.6,175,TX
Collingsworth,"44,388","47,999","54,140",110,8.1,12.8,27,TX
Colorado,"51,419","54,702","59,219",72,6.4,8.3,112,TX
Comal,"63,236","64,164","67,063",35,1.5,4.5,236,TX
Comanche,"44,216","47,532","50,112",162,7.5,5.4,218,TX
Concho,"31,497","34,970","38,635",243,11.0,10.5,55,TX
Cooke,"53,372","55,863","59,800",68,4.7,7.0,155,TX
Coryell,"32,816","35,113","37,476",247,7.0,6.7,172,TX
Cottle,"53,393","61,049","73,613",22,14.3,20.6,10,TX
Crane,"54,198","49,986","54,119",111,-7.8,8.3,110,TX
Crockett,"52,168","53,533","57,013",87,2.6,6.5,180,TX
Crosby,"41,098","45,362","52,897",124,10.4,16.6,15,TX
Culberson,"57,475","66,079","71,297",28,15.0,7.9,132,TX
Dallam,"64,391","68,821","70,511",30,6.9,2.5,251,TX
Dallas,"64,488","66,125","72,218",26,2.5,9.2,86,TX
Dawson,"40,633","43,888","46,139",202,8.0,5.1,227,TX
Deaf Smith,"50,626","55,258","60,615",59,9.1,9.7,71,TX
Delta,"41,006","44,449","47,471",185,8.4,6.8,167,TX
Denton,"62,252","64,434","68,773",33,3.5,6.7,171,TX
DeWitt,"60,771","59,557","66,916",36,-2.0,12.4,30,TX
Dickens,"40,807","46,630","50,869",152,14.3,9.1,89,TX
Dimmit,"49,033","50,347","55,771",96,2.7,10.8,49,TX
Donley,"44,711","46,722","50,574",156,4.5,8.2,114,TX
Duval,"43,378","47,167","51,887",139,8.7,10.0,63,TX
Eastland,"67,745","59,608","66,400",37,-12.0,11.4,36,TX
Ector,"52,948","49,351","53,610",114,-6.8,8.6,98,TX
Edwards,"62,452","73,295","73,981",21,17.4,0.9,252,TX
Ellis,"47,591","49,456","53,393",115,3.9,8.0,129,TX
El Paso,"37,894","40,768","44,064",217,7.6,8.1,124,TX
Erath,"42,446","44,773","46,906",192,5.5,4.8,231,TX
Falls,"36,678","40,389","43,658",222,10.1,8.1,120,TX
Fannin,"41,009","42,843","46,449",199,4.5,8.4,104,TX
Fayette,"59,756","61,840","65,339",44,3.5,5.7,210,TX
Fisher,"46,330","48,931","57,245",85,5.6,17.0,14,TX
Floyd,"44,395","44,760","53,292",116,0.8,19.1,12,TX
Foard,"48,955","54,722","61,279",56,11.8,12.0,32,TX
Fort Bend,"63,261","63,012","65,797",42,-0.4,4.4,238,TX
Franklin,"44,331","47,316","51,926",138,6.7,9.7,70,TX
Freestone,"39,140","40,983","44,014",218,4.7,7.4,145,TX
Frio,"33,917","35,893","39,898",241,5.8,11.2,43,TX
Gaines,"45,865","47,535","50,616",155,3.6,6.5,181,TX
Galveston,"55,995","57,087","60,071",64,2.0,5.2,223,TX
Garza,"33,543","32,829","36,426",248,-2.1,11.0,47,TX
Gillespie,"69,396","73,481","78,039",15,5.9,6.2,193,TX
Glasscock,"116,639","110,206","124,963",2,-5.5,13.4,26,TX
Goliad,"51,154","52,404","55,947",95,2.4,6.8,169,TX
Gonzales,"48,605","49,879","57,578",83,2.6,15.4,19,TX
Gray,"44,949","46,632","49,815",166,3.7,6.8,166,TX
Grayson,"45,771","48,260","52,055",133,5.4,7.9,135,TX
Gregg,"47,616","49,827","52,958",121,4.6,6.3,189,TX
Grimes,"37,881","39,626","41,914",233,4.6,5.8,204,TX
Guadalupe,"47,156","49,296","52,190",132,4.5,5.9,201,TX
Hale,"36,347","39,454","43,543",223,8.5,10.4,58,TX
Hall,"34,368","38,506","48,706",175,12.0,26.5,7,TX
Hamilton,"68,903","72,264","77,672",16,4.9,7.5,140,TX
Hansford,"65,541","68,396","77,093",17,4.4,12.7,28,TX
Hardeman,"47,727","51,245","54,847",102,7.4,7.0,158,TX
Hardin,"49,402","50,697","52,544",131,2.6,3.6,246,TX
Harris,"60,566","61,643","65,869",40,1.8,6.9,164,TX
Harrison,"43,516","44,884","47,928",181,3.1,6.8,168,TX
Hartley,"74,916","76,075","75,790",19,1.5,-0.4,254,TX
Haskell,"47,449","48,768","54,321",109,2.8,11.4,37,TX
Hays,"48,754","51,359","56,097",94,5.3,9.2,84,TX
Hemphill,"68,610","69,936","75,731",20,1.9,8.3,109,TX
Henderson,"42,660","44,938","48,594",176,5.3,8.1,119,TX
Hidalgo,"28,256","31,342","34,503",252,10.9,10.1,61,TX
Hill,"43,673","46,134","49,968",164,5.6,8.3,108,TX
Hockley,"45,384","48,966","52,586",130,7.9,7.4,146,TX
Hood,"55,491","57,625","60,912",58,3.8,5.7,207,TX
Hopkins,"43,351","46,014","50,272",159,6.1,9.3,83,TX
Houston,"42,259","45,960","48,835",173,8.8,6.3,191,TX
Howard,"46,684","46,964","51,007",147,0.6,8.6,99,TX
Hudspeth,"34,986","39,393","42,500",231,12.6,7.9,134,TX
Hunt,"40,828","43,345","46,801",193,6.2,8.0,128,TX
Hutchinson,"43,542","46,443","50,130",161,6.7,7.9,130,TX
Irion,"73,308","72,474","78,988",14,-1.1,9.0,90,TX
Jack,"42,127","43,260","45,263",212,2.7,4.6,235,TX
Jackson,"47,992","47,949","51,971",135,-0.1,8.4,106,TX
Jasper,"44,267","46,809","49,475",169,5.7,5.7,208,TX
Jeff Davis,"49,532","53,670","59,302",71,8.4,10.5,54,TX
Jefferson,"43,650","45,749","48,243",178,4.8,5.5,216,TX
Jim Hogg,"36,197","39,153","43,336",226,8.2,10.7,52,TX
Jim Wells,"43,512","47,267","50,892",150,8.6,7.7,136,TX
Johnson,"45,041","47,724","51,619",144,6.0,8.2,116,TX
Jones,"33,876","35,575","38,914",242,5.0,9.4,79,TX
Karnes,"65,460","63,098","73,144",24,-3.6,15.9,17,TX
Kaufman,"44,362","46,288","49,494",168,4.3,6.9,162,TX
Kendall,"92,914","93,875","96,628",8,1.0,2.9,250,TX
Kenedy,"43,786","45,009","47,141",189,2.8,4.7,233,TX
Kent,"51,451","50,963","55,725",99,-0.9,9.3,81,TX
Kerr,"54,721","57,402","61,401",53,4.9,7.0,160,TX
Kimble,"48,015","50,931","54,345",108,6.1,6.7,173,TX
King,"86,359","82,589","91,930",10,-4.4,11.3,38,TX
Kinney,"36,759","40,219","42,929",229,9.4,6.7,170,TX
Kleberg,"40,550","42,083","45,818",206,3.8,8.9,95,TX
Knox,"42,658","46,817","50,320",158,9.7,7.5,141,TX
Lamar,"43,454","46,767","50,699",154,7.6,8.4,105,TX
Lamb,"45,345","49,815","54,689",105,9.9,9.8,69,TX
Lampasas,"52,701","55,465","58,507",78,5.2,5.5,215,TX
La Salle,"46,332","45,909","52,652",128,-0.9,14.7,22,TX
Lavaca,"56,955","58,629","62,375",49,2.9,6.4,186,TX
Lee,"54,789","54,663","56,674",89,-0.2,3.7,245,TX
Leon,"45,690","48,364","53,179",119,5.9,10.0,64,TX
Liberty,"38,998","40,839","42,813",230,4.7,4.8,229,TX
Limestone,"40,347","42,949","47,439",186,6.4,10.5,56,TX
Lipscomb,"88,722","94,821","102,569",6,6.9,8.2,115,TX
Live Oak,"40,618","42,590","46,134",203,4.9,8.3,107,TX
Llano,"54,046","56,744","59,689",69,5.0,5.2,224,TX
Loving,"108,522","96,194","115,158",4,-11.4,19.7,11,TX
Lubbock,"45,696","47,931","50,881",151,4.9,6.2,195,TX
Lynn,"46,708","43,995","58,496",79,-5.8,33.0,4,TX
McCulloch,"39,901","42,301","45,744",207,6.0,8.1,118,TX
McLennan,"42,601","45,808","49,512",167,7.5,8.1,123,TX
McMullen,"94,047","89,304","110,273",5,-5.0,23.5,8,TX
Madison,"34,029","36,888","40,859",238,8.4,10.8,50,TX
Marion,"42,643","43,840","47,582",183,2.8,8.5,101,TX
Martin,"78,790","73,094","84,121",11,-7.2,15.1,20,TX
Mason,"50,721","52,617","57,094",86,3.7,8.5,102,TX
Matagorda,"45,851","47,528","50,775",153,3.7,6.8,165,TX
Maverick,"32,537","35,436","38,448",244,8.9,8.5,103,TX
Medina,"44,514","46,766","50,076",163,5.1,7.1,152,TX
Menard,"41,428","44,122","47,390",187,6.5,7.4,143,TX
Midland,"143,945","110,378","126,738",1,-23.3,14.8,21,TX
Milam,"38,124","41,208","45,286",211,8.1,9.9,68,TX
Mills,"43,994","49,340","51,712",142,12.2,4.8,230,TX
Mitchell,"33,045","33,486","35,417",249,1.3,5.8,205,TX
Montague,"42,669","43,419","45,716",208,1.8,5.3,221,TX
Montgomery,"65,882","66,440","68,974",32,0.8,3.8,243,TX
Moore,"46,943","50,379","56,634",90,7.3,12.4,29,TX
Morris,"41,319","44,101","47,226",188,6.7,7.1,151,TX
Motley,"36,022","41,872","41,754",234,16.2,-0.3,253,TX
Nacogdoches,"39,665","42,073","46,246",200,6.1,9.9,66,TX
Navarro,"39,544","41,872","45,616",209,5.9,8.9,91,TX
Newton,"38,416","40,957","43,123",228,6.6,5.3,222,TX
Nolan,"45,680","47,428","52,629",129,3.8,11.0,46,TX
Nueces,"47,242","49,149","52,852",126,4.0,7.5,138,TX
Ochiltree,"58,559","55,494","64,247",45,-5.2,15.8,18,TX
Oldham,"63,100","67,945","72,126",27,7.7,6.2,196,TX
Orange,"45,318","46,968","48,912",172,3.6,4.1,241,TX
Palo Pinto,"45,246","47,649","52,042",134,5.3,9.2,85,TX
Panola,"48,801","48,646","53,292",116,-0.3,9.6,76,TX
Parker,"58,675","61,317","65,358",43,4.5,6.6,177,TX
Parmer,"50,187","55,989","63,512",46,11.6,13.4,25,TX
Pecos,"41,260","41,006","43,661",221,-0.6,6.5,182,TX
Polk,"43,617","45,815","47,994",180,5.0,4.8,232,TX
Potter,"47,392","51,883","55,764",97,9.5,7.5,142,TX
Presidio,"50,154","55,514","61,776",51,10.7,11.3,39,TX
Rains,"36,781","38,962","41,563",237,5.9,6.7,174,TX
Randall,"50,321","53,165","56,381",91,5.7,6.0,199,TX
Reagan,"58,618","56,424","61,077",57,-3.7,8.2,113,TX
Real,"46,008","52,249","55,449",100,13.6,6.1,197,TX
Red River,"45,699","49,198","53,818",113,7.7,9.4,78,TX
Reeves,"51,257","48,054","52,811",127,-6.2,9.9,67,TX
Refugio,"47,999","49,471","54,475",107,3.1,10.1,60,TX
Roberts,"50,589","53,413","56,868",88,5.6,6.5,183,TX
Robertson,"44,992","47,569","52,894",125,5.7,11.2,42,TX
Rockwall,"65,526","66,943","70,833",29,2.2,5.8,202,TX
Runnels,"44,855","46,861","51,307",146,4.5,9.5,77,TX
Rusk,"39,860","41,911","44,874",215,5.1,7.1,153,TX
Sabine,"38,759","42,290","44,900",214,9.1,6.2,194,TX
San Augustine,"45,260","45,510","50,573",157,0.6,11.1,44,TX
San Jacinto,"41,707","43,626","46,477",198,4.6,6.5,178,TX
San Patricio,"45,892","47,470","51,392",145,3.4,8.3,111,TX
San Saba,"44,005","41,586","43,735",220,-5.5,5.2,226,TX
Schleicher,"46,929","49,660","51,775",141,5.8,4.3,239,TX
Scurry,"44,591","44,706","47,138",190,0.3,5.4,217,TX
Shackelford,"96,159","88,578","93,075",9,-7.9,5.1,228,TX
Shelby,"43,354","47,107","54,640",106,8.7,16.0,16,TX
Sherman,"99,946","95,726","122,945",3,-4.2,28.4,6,TX
Smith,"56,639","55,832","60,284",62,-1.4,8.0,127,TX
Somervell,"48,387","50,951","54,826",103,5.3,7.6,137,TX
Starr,"27,516","31,511","34,933",250,14.5,10.9,48,TX
Stephens,"45,589","45,360","48,498",177,-0.5,6.9,163,TX
Sterling,"60,248","59,869","65,866",41,-0.6,10.0,62,TX
Stonewall,"61,771","66,772","73,182",23,8.1,9.6,73,TX
Sutton,"71,242","64,619","68,431",34,-9.3,5.9,200,TX
Swisher,"56,920","59,169","72,623",25,4.0,22.7,9,TX
Tarrant,"52,823","54,554","58,940",73,3.3,8.0,125,TX
Taylor,"47,295","51,172","58,316",81,8.2,14.0,24,TX
Terrell,"47,492","56,833","63,481",47,19.7,11.7,34,TX
Terry,"38,147","42,626","45,353",210,11.7,6.4,185,TX
Throckmorton,"43,729","44,690","69,390",31,2.2,55.3,1,TX
Titus,"39,180","43,404","48,007",179,10.8,10.6,53,TX
Tom Green,"52,033","55,927","59,877",67,7.5,7.1,154,TX
Travis,"73,299","73,982","81,708",13,0.9,10.4,57,TX
Trinity,"41,668","44,332","47,101",191,6.4,6.2,192,TX
Tyler,"36,234","39,764","41,613",236,9.7,4.6,234,TX
Upshur,"39,605","40,755","43,308",227,2.9,6.3,190,TX
Upton,"51,233","55,500","61,595",52,8.3,11.0,45,TX
Uvalde,"44,957","48,807","53,257",118,8.6,9.1,87,TX
Val Verde,"39,906","42,532","46,642",197,6.6,9.7,72,TX
Van Zandt,"39,470","41,673","45,045",213,5.6,8.1,122,TX
Victoria,"53,174","54,194","58,479",80,1.9,7.9,131,TX
Walker,"30,157","31,523","33,345",253,4.5,5.8,203,TX
Waller,"45,670","47,291","49,404",171,3.5,4.5,237,TX
Ward,"56,395","49,543","55,099",101,-12.2,11.2,41,TX
Washington,"55,865","59,063","61,295",55,5.7,3.8,244,TX
Webb,"34,757","37,273","40,850",239,7.2,9.6,74,TX
Wharton,"46,646","48,423","52,948",122,3.8,9.3,80,TX
Wheeler,"43,274","46,553","49,906",165,7.6,7.2,148,TX
Wichita,"45,009","47,089","50,210",160,4.6,6.6,176,TX
Wilbarger,"51,145","53,397","59,952",65,4.4,12.3,31,TX
Willacy,"29,395","32,960","37,792",246,12.1,14.7,23,TX
Williamson,"54,444","57,236","62,931",48,5.1,10.0,65,TX
Wilson,"50,561","52,093","55,762",98,3.0,7.0,156,TX
Winkler,"66,674","60,555","66,180",38,-9.2,9.3,82,TX
Wise,"47,794","50,376","53,871",112,5.4,6.9,161,TX
Wood,"42,156","44,730","47,546",184,6.1,6.3,188,TX
Yoakum,"48,623","49,127","51,954",136,1.0,5.8,206,TX
Young,"52,250","53,806","58,602",77,3.0,8.9,93,TX
Zapata,"29,858","29,865","33,288",254,0.0,11.5,35,TX
Zavala,"36,521","40,043","43,868",219,9.6,9.6,75,TX
,,,,,,,,
Utah,"48,580","52,225","56,019",--,7.5,7.3,--,UT
Beaver,"36,202","43,658","46,960",17,20.6,7.6,11,UT
Box Elder,"38,927","42,295","45,456",19,8.7,7.5,12,UT
Cache,"41,127","43,253","47,269",15,5.2,9.3,4,UT
Carbon,"40,448","42,848","45,120",20,5.9,5.3,22,UT
Daggett,"48,695","50,894","51,672",8,4.5,1.5,29,UT
Davis,"47,468","50,820","54,820",6,7.1,7.9,7,UT
Duchesne,"38,842","41,279","42,903",23,6.3,3.9,26,UT
Emery,"35,160","39,031","40,871",25,11.0,4.7,24,UT
Garfield,"39,440","43,010","50,209",10,9.1,16.7,1,UT
Grand,"58,920","63,115","69,832",3,7.1,10.6,2,UT
Iron,"33,840","36,533","38,834",27,8.0,6.3,18,UT
Juab,"39,419","43,485","48,060",14,10.3,10.5,3,UT
Kane,"42,444","46,840","49,842",12,10.4,6.4,17,UT
Millard,"38,283","40,959","44,281",21,7.0,8.1,6,UT
Morgan,"54,976","58,768","63,256",4,6.9,7.6,10,UT
Piute,"46,797","48,017","49,233",13,2.6,2.5,28,UT
Rich,"39,231","41,668","43,280",22,6.2,3.9,27,UT
Salt Lake,"53,472","58,028","62,547",5,8.5,7.8,9,UT
San Juan,"29,299","32,289","34,038",29,10.2,5.4,21,UT
Sanpete,"32,845","36,656","39,139",26,11.6,6.8,15,UT
Sevier,"36,186","39,370","41,983",24,8.8,6.6,16,UT
Summit,"164,980","174,010","183,972",1,5.5,5.7,20,UT
Tooele,"39,109","42,321","46,131",18,8.2,9.0,5,UT
Uintah,"32,029","33,201","35,128",28,3.7,5.8,19,UT
Utah,"44,079","47,232","50,661",9,7.2,7.3,13,UT
Wasatch,"63,088","66,591","71,360",2,5.6,7.2,14,UT
Washington,"42,732","45,178","47,162",16,5.7,4.4,25,UT
Wayne,"45,183","50,067","52,647",7,10.8,5.2,23,UT
Weber,"43,032","46,230","49,857",11,7.4,7.8,8,UT
,,,,,,,,
Vermont,"55,442","59,296","61,882",--,7.0,4.4,--,VT
Addison,"53,670","57,156","59,540",7,6.5,4.2,12,VT
Bennington,"54,828","58,349","61,287",6,6.4,5.0,3,VT
Caledonia,"43,758","48,202","50,533",13,10.2,4.8,4,VT
Chittenden,"61,686","65,123","67,921",3,5.6,4.3,8,VT
Essex,"41,733","45,107","48,120",14,8.1,6.7,1,VT
Franklin,"49,217","52,392","54,756",11,6.5,4.5,6,VT
Grand Isle,"64,765","67,532","70,543",1,4.3,4.5,7,VT
Lamoille,"55,262","59,543","62,305",5,7.7,4.6,5,VT
Orange,"49,622","53,314","55,573",10,7.4,4.2,10,VT
Orleans,"45,632","49,879","51,960",12,9.3,4.2,11,VT
Rutland,"52,313","56,160","57,831",8,7.4,3.0,14,VT
Washington,"59,995","65,375","67,529",4,9.0,3.3,13,VT
Windham,"49,643","53,569","55,841",9,7.9,4.2,9,VT
Windsor,"61,443","65,431","69,523",2,6.5,6.3,2,VT
,,,,,,,,
Virginia,"59,073","62,189","66,305",--,5.3,6.6,--,VA
Accomack,"48,224","51,730","57,520",36,7.3,11.2,6,VA
Amelia,"43,703","46,379","50,973",52,6.1,9.9,15,VA
Amherst,"38,200","41,218","44,051",82,7.9,6.9,65,VA
Appomattox,"39,235","41,944","44,943",77,6.9,7.2,59,VA
Arlington,"97,629","100,687","107,603",2,3.1,6.9,66,VA
Bath,"64,918","68,508","72,157",12,5.5,5.3,96,VA
Bedford,"48,174","51,062","53,861",45,6.0,5.5,93,VA
Bland,"37,470","39,734","42,820",91,6.0,7.8,52,VA
Botetourt,"51,755","54,534","57,997",34,5.4,6.4,82,VA
Brunswick,"33,612","37,119","40,151",95,10.4,8.2,39,VA
Buchanan,"37,586","40,138","44,003",83,6.8,9.6,18,VA
Buckingham,"31,098","33,666","37,220",105,8.3,10.6,11,VA
Caroline,"43,232","46,568","49,650",59,7.7,6.6,72,VA
Charles City,"49,966","54,456","58,882",33,9.0,8.1,42,VA
Charlotte,"36,525","39,448","43,870",84,8.0,11.2,5,VA
Chesterfield,"54,866","57,829","61,200",28,5.4,5.8,88,VA
Clarke,"68,329","71,331","75,403",10,4.4,5.7,90,VA
Craig,"40,988","43,959","47,457",63,7.2,8.0,45,VA
Culpeper,"49,181","52,016","55,336",41,5.8,6.4,81,VA
Cumberland,"39,342","42,229","47,040",71,7.3,11.4,3,VA
Dickenson,"33,821","37,442","41,437",93,10.7,10.7,9,VA
Essex,"43,817","47,839","51,780",50,9.2,8.2,37,VA
Fauquier,"71,845","74,649","78,810",8,3.9,5.6,91,VA
Floyd,"40,313","43,470","47,376",65,7.8,9.0,26,VA
Fluvanna,"46,851","49,775","53,612",47,6.2,7.7,53,VA
Franklin,"44,047","47,241","50,264",54,7.3,6.4,80,VA
Giles,"40,611","43,685","48,098",61,7.6,10.1,13,VA
Gloucester,"49,305","52,410","55,944",39,6.3,6.7,68,VA
Goochland,"104,892","106,031","110,781",1,1.1,4.5,103,VA
Grayson,"32,497","35,407","38,600",103,9.0,9.0,25,VA
Greene,"45,027","47,440","51,152",51,5.4,7.8,48,VA
Halifax,"36,761","39,923","43,557",88,8.6,9.1,24,VA
Hanover,"61,617","65,636","68,934",15,6.5,5.0,99,VA
Henrico,"68,826","69,938","74,650",11,1.6,6.7,69,VA
Highland,"43,656","45,690","50,196",55,4.7,9.9,16,VA
Isle of Wight,"55,640","58,819","63,005",23,5.7,7.1,61,VA
King and Queen,"47,278","51,891","55,935",40,9.8,7.8,50,VA
King George,"56,280","59,255","62,077",27,5.3,4.8,102,VA
King William,"47,526","50,309","53,900",44,5.9,7.1,60,VA
